Annee;Groupe_TP;Id_paquerette;Milieu;Code_site;Prop_veg_500;Date_ech;Date_dissection;Nb_inflo;Nb_feuilles;H_tige;D_capitule;D_disque;Antho_sup;Antho_inf;Nb_ligu;Nb_tubu;Abondance;Agregation
2023;A12;RUR4-2071-A;Rural;RUR4;96.02;05/03/2023;09/03/2023;1;8;52;20;5;2;2;40;104;1;B
2023;A12;RUR4-2771-A;Rural;RUR4;96.02;09/03/2023;09/03/2023;3;20;60;23;9;2;2;54;192;1;A
2023;A12;RUR4-3815-A;Rural;RUR4;96.02;08/03/2023;09/03/2023;2;80;86;25;9;2;3;50;232;5;D
2023;A22;RUR4-6030-B;Rural;RUR4;96.02;07/03/2023;09/03/2023;7;67;126;25;8;1;2;76;220;1;D
2023;A22;RUR4-6216-B;Rural;RUR4;96.02;07/03/2023;09/03/2023;3;33;135;25;10;2;3;60;272;1;D
2023;B21;RUR5-6408-A;Rural;RUR5;96.79;07/03/2023;08/03/2023;2;22;51;23;7;2;2;50;136;1;D
2023;A32;RUR5-0216-A;Rural;RUR5;96.79;05/03/2023;07/03/2023;10;57;85;20;8;2;2;62;288;1;C
2023;A32;RUR5-1401-A;Rural;RUR5;96.79;06/03/2023;07/03/2023;3;28;57;22;8;3;3;46;132;1;B
2023;A32;RUR5-3532-A;Rural;RUR5;96.79;05/03/2023;07/03/2023;6;58;45;23;8;3;3;54;222;1;E
2023;A32;RUR5-3754-B;Rural;RUR5;96.79;05/03/2023;07/03/2023;5;31;27;20;7;2;2;46;186;1;B
2023;A12;RUR5-7207-A;Rural;RUR5;96.79;04/03/2023;09/03/2023;2;24;79;23;7;2;2;54;164;1;B
2023;B21;RUR6-0298-A;Rural;RUR6;95.85;05/03/2023;08/03/2023;4;28;32;20;8;3;3;42;190;2;A
2023;B31;RUR6-0730-A;Rural;RUR6;95.85;05/03/2023;06/03/2023;4;13;53;26;7;2;3;44;150;1;C
2023;B31;RUR6-2578-A;Rural;RUR6;95.85;05/03/2023;06/03/2023;4;14;20;21;7;2;3;46;112;1;C
2023;B21;RUR6-3851-A;Rural;RUR6;95.85;05/03/2023;08/03/2023;4;36;72;25;7;2;3;84;222;1;D
2023;B31;RUR6-4773-B;Rural;RUR6;95.85;05/03/2023;06/03/2023;7;19;29;24.5;8.5;2;2;60;192;1;C
2023;B32;RUR6-9234-A;Rural;RUR6;95.85;05/03/2023;06/03/2023;2;17;60;22;10;2;3;48;132;1;B
2023;A11;RUR6-3391-A;Rural;RUR6;95.85;06/03/2023;09/03/2023;4;27;52;20;8;1;1;50;164;1;B
2023;A11;RUR6-4663-A;Rural;RUR6;95.85;06/03/2023;09/03/2023;4;38;67;20;9;3;3;46;158;1;D
2023;A11;RUR6-7366-A;Rural;RUR6;95.85;06/03/2023;09/03/2023;4;38;53;21;11;2;2;62;238;2;C
2023;A21;RUR6-7613-A;Rural;RUR6;95.85;06/03/2023;09/03/2023;4;31;61;25;8;1;1;52;192;1;A
2023;A31;SU1-1262-A;Semi-urbain;SU1;51.8;06/03/2023;07/03/2023;5;43;155;25;8;2;3;62;222;2;E
2023;B31;SU1-4049-A;Semi-urbain;SU1;51.8;05/03/2023;06/03/2023;4;12;80;20;7;2;2;54;184;3;C
2023;A31;SU1-4161-A;Semi-urbain;SU1;51.8;06/03/2023;07/03/2023;3;27;110;25;8;3;3;56;208;2;E
2023;B31;SU1-8912-A;Semi-urbain;SU1;51.8;05/03/2023;06/03/2023;5;8;62;27;7;4;5;48;154;3;C
2023;B31;SU1-9421-A;Semi-urbain;SU1;51.8;05/03/2023;06/03/2023;2;9;75;26;8;2;2;56;246;1;C
2023;A11;SU1-4938-A;Semi-urbain;SU1;51.8;09/03/2023;09/03/2023;6;25;90;27;8;1;1;56;232;1;D
2023;A11;SU1-9595-B;Semi-urbain;SU1;51.8;09/03/2023;09/03/2023;2;15;65;25;12;2;3;58;210;1;D
2023;A21;SU1-6965-A;Semi-urbain;SU1;51.8;09/03/2023;09/03/2023;3;32;90;22;7;2;2;48;166;1;A
2023;A12;SU1-8279-A;Semi-urbain;SU1;51.8;09/03/2023;09/03/2023;3;20;55;22;8;2;2;42;96;2;B
2023;A22;SU1-6725-A;Semi-urbain;SU1;51.8;08/03/2023;09/03/2023;4;31;70;25;8;2;3;46;190;1;A
2023;B12;SU2-0049-B;Semi-urbain;SU2;41.99;07/03/2023;08/03/2023;8;43;50;30;8;2;3;56;110;2;E
2023;B32;SU2-0591-A;Semi-urbain;SU2;41.99;05/03/2023;06/03/2023;11;65;55;21;8;2;2;46;160;1;E
2023;B31;SU2-0667-A;Semi-urbain;SU2;41.99;05/03/2023;06/03/2023;3;9;35;20;5;2;2;42;62;1;A
2023;B12;SU2-5473A;Semi-urbain;SU2;41.99;07/03/2023;08/03/2023;4;32;44;20;8;2;3;50;202;2;E
2023;B31;SU2-7703-A;Semi-urbain;SU2;41.99;05/03/2023;06/03/2023;2;14;43;24;8;2;3;58;192;1;A
2023;A11;SU-0406-A;Semi-urbain;SU2;41.99;08/03/2023;09/03/2023;3;12;32;20;7;2;2;46;134;4;C
2023;A11;SU2-1249-A;Semi-urbain;SU2;41.99;09/03/2023;09/03/2023;9;57;30;20;7;2;3;54;104;3;E
2023;A11;SU2-4185-A;Semi-urbain;SU2;41.99;09/03/2023;09/03/2023;4;56;80;22;7;2;2;46;140;2;D
2023;A11;SU2-5948-A;Semi-urbain;SU2;41.99;09/03/2023;09/03/2023;6;31;48;17;7;1;1;50;146;3;E
2023;A11;SU2-6562-A;Semi-urbain;SU2;41.99;09/03/2023;09/03/2023;5;41;42;21;8;2;2;68;180;3;E
2023;A32;SU2-1148-A;Semi-urbain;SU2;41.99;06/03/2023;07/03/2023;7;50;49;29;7;2;2;38;98;1;A
2023;A31;SU2-7240-A;Semi-urbain;SU3;65.02;06/03/2023;07/03/2023;5;29;35;20;8;2;2;40;102;3;D
2023;B12;SU3-2641-B;Semi-urbain;SU3;65.02;08/03/2023;08/03/2023;8;18;75;20;7;2;2;66;162;2;D
2023;B32;SU3-6546-A;Semi-urbain;SU3;65.02;06/03/2023;06/03/2023;3;29;35;20;9;1;1;82;180;1;B
2023;A21;SU3-0799-B;Semi-urbain;SU3;65.02;08/03/2023;09/03/2023;4;11;67;22;8;2;2;48;124;2;B
2023;A21;SU3-2079-A;Semi-urbain;SU3;65.02;08/03/2023;09/03/2023;4;36;45;22;8;2;2;60;160;4;A
2023;A21;SU3-3382-A;Semi-urbain;SU3;65.02;08/03/2023;09/03/2023;4;11;52;21;7;2;3;42;140;2;B
2023;A32;SU3-2211-B;Semi-urbain;SU3;65.02;04/03/2023;07/03/2023;5;45;21;16;5;2;1;44;112;1;A
2023;A32;SU3-8216-A;Semi-urbain;SU3;65.02;06/03/2023;07/03/2023;6;37;45;23;6;2;3;56;130;2;A
2023;A32;SU3-9539-B;Semi-urbain;SU3;65.02;04/03/2023;07/03/2023;2;23;40;19;7;2;3;34;100;1;C
2023;A22;SU3-1288-A;Semi-urbain;SU3;65.02;09/03/2023;09/03/2023;4;28;73;22;7;1;1;52;144;1;D
2023;B12;SU4-1413-A;Semi-urbain;SU4;63.32;07/03/2023;08/03/2023;3;38;100;29;7;3;3;46;202;1;C
2023;A31;SU4-2000-A;Semi-urbain;SU4;63.32;06/03/2023;07/03/2023;9;53;55;25;7;1;1;48;140;1;C
2023;A31;SU4-2048-A;Semi-urbain;SU4;63.32;06/03/2023;07/03/2023;3;34;28;23;3;1;2;30;68;3;E
2023;B12;SU4-2210-A;Semi-urbain;SU4;63.32;06/03/2023;08/03/2023;1;9;75;17;6;2;2;38;80;2;E
2023;A31;SU4-7644-A;Semi-urbain;SU4;63.32;06/03/2023;07/03/2023;8;98;60;25;8;2;4;44;160;1;E
2023;A12;SU4-08656-A;Semi-urbain;SU4;63.32;09/03/2023;09/03/2023;1;38;61;24;8;1;2;68;210;1;A
2023;A12;SU4-5526-A;Semi-urbain;SU4;63.32;09/03/2023;09/03/2023;3;18;68;22;8;1;2;48;174;1;B
2023;A22;SU4-6892-B;Semi-urbain;SU4;63.32;08/03/2023;09/03/2023;10;57;90;27;8;3;5;56;192;2;D
2023;A22;SU4-8510-B;Semi-urbain;SU4;63.32;22/02/2023;09/03/2023;7;31;73;18;7;1;1;64;154;1;D
2023;B32;SU5-1064-A;Semi-urbain;SU5;46.44;05/03/2023;06/03/2023;2;25;48;24;9;2;2;60;148;1;B
2023;B11;SU5-2148-A;Semi-urbain;SU5;46.44;04/03/2023;08/03/2023;3;21;45;21;7;2;3;52;144;1;D
2023;B32;SU5-2237-B;Semi-urbain;SU5;46.44;05/03/2023;06/03/2023;3;17;46;22;7;1;2;54;138;2;E
2023;B32;SU5-2427-A;Semi-urbain;SU5;46.44;05/03/2023;06/03/2023;4;25;26;24;8;2;2;52;164;1;C
2023;B32;SU5-4835-A;Semi-urbain;SU5;46.44;05/03/2023;06/03/2023;2;20;24;22;12;1;2;36;142;1;C
2023;A21;SU5-0677-A;Semi-urbain;SU5;46.44;08/03/2023;09/03/2023;3;22;50;25;8;2;2;66;168;1;A
2023;A21;SU5-0771-A;Semi-urbain;SU5;46.44;08/03/2023;09/03/2023;2;26;63;24;7;3;3;44;82;1;A
2023;A21;SU5-8185-B;Semi-urbain;SU5;46.44;08/03/2023;09/03/2023;6;15;85;24;8;2;2;62;212;1;A
2023;A32;SU5-4123-A;Semi-urbain;SU5;46.44;05/03/2023;07/03/2023;4;33;45;27;7;3;3;58;142;1;B
2023;A22;SU5-1454-A;Semi-urbain;SU5;46.44;08/03/2023;09/03/2023;2;22;47;22;8;1;1;36;118;1;A
2023;B22;SU6-0421-A;Semi-urbain;SU6;52.79;07/03/2023;08/03/2023;3;31;53;25;8;2;2;44;182;1;A
2023;B21;SU6-1056-A;Semi-urbain;SU6;52.79;07/03/2023;08/03/2023;4;28;52;24;8;1;2;58;176;1;A
2023;B11;SU6-2059-B;Semi-urbain;SU6;52.79;07/03/2023;08/03/2023;1;22;50;18;7;2;2;64;170;1;B
2023;B21;SU6-2490-B;Semi-urbain;SU6;52.79;07/03/2023;08/03/2023;3;25;42;20;8;2;2;56;128;1;A
2023;B21;SU6-2510-A;Semi-urbain;SU6;52.79;07/03/2023;08/03/2023;3;30;74;21;7;2;2;42;168;1;A
2023;B11;SU6-2529-A;Semi-urbain;SU6;52.79;08/03/2023;08/03/2023;6;64;48;22;7;2;3;56;128;1;B
2023;B22;su6-3177-A;Semi-urbain;SU6;52.79;07/03/2023;08/03/2023;5;27;69;25;9;2;3;54;206;1;A
2023;B22;SU6-3840-A;Semi-urbain;SU6;52.79;07/03/2023;08/03/2023;6;28;42;22;9;2;2;70;238;1;A
2023;B22;SU6-4092-A;Semi-urbain;SU6;52.79;07/03/2023;08/03/2023;3;27;44;23;8;2;2;60;214;1;A
2023;B22;SU6-7894-B;Semi-urbain;SU6;52.79;07/03/2023;08/03/2023;5;22;72;24;8;2;2;66;168;1;E
2023;B11;SU6-9010-A;Semi-urbain;SU6;52.79;07/03/2023;08/03/2023;4;32;48;23;8;2;3;54;212;1;B
2023;A32;SU6-0717-B;Semi-urbain;SU6;52.79;06/03/2023;07/03/2023;4;27;64;24;8;2;2;48;160;1;A
2023;B32;URB1-0967-A;Urbain;URB1;21.9;05/03/2023;06/03/2023;4;28;70;20;6;3;3;40;114;2;E
2023;B12;URB1-1744-A;Urbain;URB1;21.9;08/03/2023;08/03/2023;1;22;33;19;7;2;2;42;130;1;A
2023;A32;URB1-1154-B;Urbain;URB1;21.9;06/03/2023;07/03/2023;7;41;70;24;8;2;2;52;146;1;A
2023;A12;URB1-5810-A;Urbain;URB1;21.9;09/03/2023;09/03/2023;3;25;50;21;8;1;2;34;92;1;A
2023;A22;URB1-1194-A;Urbain;URB1;21.9;08/03/2023;09/03/2023;6;36;50;18;7;2;2;42;194;1;C
